ID,Date,BitCoin_Price,Dash_Price,Ethereum_Price,EthereumClassic_Price,LiteCoin_Price,Monero_Price,Nem_Price,Neo_Price,Ripple_Price,Stratis_Price,Waves_Price
,"Sep 05, 2017",4376.53,327.23,312.99,16.58,71.29,118.82,0.286227,22.8,0.215189,6.03,4.98
,"Sep 04, 2017",4236.31,316.13,295.17,15.84,65.21,106.17,0.27322,21.83,0.204968,5.77,4.66
,"Sep 03, 2017",4582.96,356.39,347.48,18.57,76.84,126.01,0.307264,30.32,0.228811,6.59,5.2
,"Sep 02, 2017",4578.77,350.17,348.98,20.08,79.02,124.8,0.295884,31.72,0.226669,6.34,5.23
,"Sep 01, 2017",4892.01,393.35,387.74,21.94,86.04,141.2,0.33231,32.01,0.248479,7.25,5.74
,"Aug 31, 2017",4703.39,378.32,383.04,16.38,71.06,140.41,0.337213,33.16,0.25563,7.28,5.94
,"Aug 30, 2017",4565.3,368.34,378.49,15.66,64.17,132.38,0.295817,33.1,0.228006,7.33,5.48
,"Aug 29, 2017",4579.02,359.55,370.67,15.79,63.17,133.03,0.283717,33.66,0.218564,6.96,5.45
,"Aug 28, 2017",4382.66,356.78,347.75,15.79,62.36,145.4,0.278257,38.45,0.224508,7.24,5.26
,"Aug 27, 2017",4382.88,362.89,347.89,16.02,61.16,130.68,0.274641,40.09,0.202995,6.97,5.23
,"Aug 26, 2017",4352.4,399.85,333.88,15.29,51.75,138.05,0.268393,38.59,0.212577,6.3,5.32
,"Aug 25, 2017",4371.6,315.89,331.92,15.28,51.18,108.26,0.270482,40.3,0.217828,6.06,5.27
,"Aug 24, 2017",4334.68,315.37,325.61,15.14,50.19,86.29,0.265512,42.05,0.218958,6,5.02
,"Aug 23, 2017",4151.52,292.57,317.52,15.29,53.25,90.33,0.249603,40,0.246827,5.88,4.6
,"Aug 22, 2017",4100.52,291.5,314.79,14.39,46.73,91.16,0.254089,35.85,0.239286,5.68,4.46
,"Aug 21, 2017",4001.74,279.58,321.59,14.56,47.94,77.82,0.252456,35.3,0.191918,5.47,4.39
,"Aug 20, 2017",4087.66,294.2,301.43,13.89,46.23,54.71,0.271441,38.19,0.158735,5.73,4.86
,"Aug 19, 2017",4193.7,288.7,297.47,13.7,45.48,55.96,0.256137,39.97,0.155057,5.66,4.43
,"Aug 18, 2017",4160.62,224.28,295.59,13.81,47.28,46.69,0.243244,38.85,0.158883,5.62,4.3
,"Aug 17, 2017",4331.69,233.62,301.46,13.93,43.91,47.45,0.244955,40.69,0.157498,6.15,4.58
,"Aug 16, 2017",4376.63,232.02,302.27,14.19,44.15,48.78,0.258012,45.54,0.160431,6.05,4.83
,"Aug 15, 2017",4181.93,203.52,289.82,13.69,43.31,48.74,0.247928,47.49,0.161221,6.09,4.79
,"Aug 14, 2017",4325.13,199.44,300.1,14.08,45.8,49.75,0.256048,47.43,0.169991,6.05,4.72
,"Aug 13, 2017",4073.26,198.17,298.06,14.3,45.81,47.76,0.257339,46.65,0.168092,6.52,4.79
,"Aug 12, 2017",3884.71,205.49,310.6,14.81,46.43,49.37,0.278085,36.61,0.173853,6.79,5.05
,"Aug 11, 2017",3650.62,205.79,308.86,15.17,47.1,50.65,0.295213,33.5,0.179307,7.58,5.54
,"Aug 10, 2017",3381.28,200.96,295.89,15.19,46.5,49.47,0.294135,36.18,0.180399,7.91,5.6
,"Aug 09, 2017",3342.47,199.21,296.03,15.38,48.01,50.96,0.279883,21.75,0.182947,7.53,5.27
,"Aug 08, 2017",3419.94,203.84,296.77,15.88,48.63,51.94,0.275143,18.27,0.192586,7.87,5.41
,"Aug 07, 2017",3378.94,197.19,269.18,15.31,45.8,50.21,0.280321,18.68,0.179021,7.62,5.64
,"Aug 06, 2017",3213.94,189.13,261.57,15.35,45.1,47.83,0.248318,15.21,0.180444,6.72,5.21
,"Aug 05, 2017",3252.91,193.83,256.51,15.93,46.86,48.58,0.228656,14.02,0.184737,7.12,4.32
,"Aug 04, 2017",2895.89,186.97,223.07,15.04,43.45,45.12,0.22424,10.43,0.173743,6.61,3.67
,"Aug 03, 2017",2804.73,186.99,225.34,15.37,42.86,43.36,0.22689,10.67,0.174612,6.04,3.84
,"Aug 02, 2017",2710.67,182.93,219.95,14.77,42.13,43.63,0.219719,8.11,0.173113,5.57,3.51
,"Aug 01, 2017",2718.26,184.75,226.77,14.57,43.04,44.15,0.181054,7.86,0.177053,5.92,3.01
,"Jul 31, 2017",2875.34,178.51,203.87,14,43.02,39.84,0.165068,7.33,0.167386,5,2.78
,"Jul 30, 2017",2757.18,172.82,197.98,13.81,40.42,39.62,0.1605,7.15,0.165082,4.85,2.72
,"Jul 29, 2017",2726.45,185.25,205.79,14.4,41.12,43.89,0.170197,7.26,0.169871,5.22,2.87
,"Jul 28, 2017",2809.01,185.61,193.12,14.16,40.61,43.96,0.165774,7.09,0.165937,4.61,3
,"Jul 27, 2017",2671.78,194.09,204.32,14.66,42.14,45.24,0.170475,7.72,0.173457,4.97,2.75
,"Jul 26, 2017",2529.45,194.37,203.95,14.77,42.23,45.8,0.156463,7.17,0.173822,5.06,2.74
,"Jul 25, 2017",2576.48,195.52,206.71,14.92,42.24,40.68,0.158206,7.35,0.178104,4.82,2.91
,"Jul 24, 2017",2754.86,204.02,224.71,15.88,44.41,45.58,0.169644,8.46,0.192002,5.77,3.52
,"Jul 23, 2017",2730.4,191.03,225.95,15.78,44.06,42.67,0.166136,8.57,0.195058,6.17,3.65
,"Jul 22, 2017",2810.12,195.31,229.48,16.51,46.56,44.71,0.176768,8.62,0.19332,6.78,3.9
,"Jul 21, 2017",2667.76,185.86,218.31,16.14,45.76,40.34,0.143792,7.42,0.182608,6.22,3.24
,"Jul 20, 2017",2817.6,188.59,227.26,16.06,45.02,40.3,0.152087,7.21,0.188295,5.38,3.25
,"Jul 19, 2017",2273.43,155.65,199.7,14.83,40.86,35.06,0.126825,5.88,0.168388,3.85,2.64
,"Jul 18, 2017",2318.88,158.07,234.39,16.4,44.3,36.38,0.132327,6.02,0.188718,4.18,2.83
,"Jul 17, 2017",2228.41,153.85,193.42,15.5,42.67,34.83,0.133729,5.77,0.177889,3.88,2.52
,"Jul 16, 2017",1929.82,132.64,157.36,14.18,40.91,29.43,0.097294,5.04,0.148056,2.88,1.97
,"Jul 15, 2017",1998.86,140.14,170.66,14.77,38.92,32.09,0.111478,5.03,0.170589,3.19,2.04
,"Jul 14, 2017",2233.34,161.08,199.66,17.55,42.8,35.48,0.117498,5.54,0.190769,3.29,2.43
,"Jul 13, 2017",2357.9,171.24,209.73,18.36,46.33,38.23,0.122953,6.29,0.200809,3.68,2.9
,"Jul 12, 2017",2398.84,179.89,230.77,19.94,48.75,40.39,0.133841,6.63,0.205354,4.35,3.05
,"Jul 11, 2017",2337.79,165.73,197.4,14.72,45.33,37.14,0.119303,5.4,0.185019,2.98,2.59
